id,manufacturer,type
2,daedalus,pistol
3,jakobs,pistol
4,order,pistol
5,tediore,pistol
6,torgue,pistol
7,ripper,shotgun
8,daedalus,shotgun
9,jakobs,shotgun
10,maliwan,shotgun
11,tediore,shotgun
12,torgue,shotgun
13,daedalus,assault_rifle
14,tediore,assault_rifle
15,order,assault_riffle
16,vladof,sniper
17,torgue,assault_rifle
18,vladof,assault_rifle
19,ripper,smg
20,daedalus,smg
21,maliwan,smg
22,vladof,smg
23,ripper,sniper
24,jakobs,sniper
25,maliwan,sniper
26,order,sniper
27,jakobs,assault_rifle
254,siren,class_mod
255,forgeknight,class_mod
256,exo_soldier,class_mod
259,gravitar,class_mod
261,torgue,repair_kit
263,maliwan,gadget
264,hyperion,enhancement
265,jakobs,repair_kit
266,maliwan,repair_kit
267,jakobs,gadget
268,jakobs,enhancement
269,vladof,repair_kit
270,daedalus,gadget
271,maliwan,enhancement
272,order,gadget
273,torgue,heavy
274,ripper,repair_kit
275,ripper,heavy
277,daedalus,repair_kit
278,ripper,gadget
279,maliwan,shield
281,order,enhancement
282,vladof,heavy
283,vladof,shield
284,atlas,enhancement
285,order,repair_kit
286,cov,enhancement
287,tediore,shield
289,maliwan,heavy
290,tediore,repair_kit
291,vladof,gadget
292,tediore,enhancement
293,order,shield
296,ripper,enhancement
298,torgue,gadget
299,daedalus,enhancement
300,ripper,shield
303,torgue,enhancement
306,jakobs,shield
310,vladof,enhancement
311,tediore,gadget
312,daedalus,shield
321,torgue,shield
